Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Wang H.,"Wang, Hao (57193227921)",57193227921,Do returns policies intensify retail competition?,2004,Marketing Science,23,4,,611,613+631,,48,10.1287/mksc.1030.0025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-11144335857&doi=10.1287%2fmksc.1030.0025&partnerID=40&md5=d49af8794ce2553ddd93873600ab763c,"The paper ""Manufacturer's Returns Policies and Retail Competition"" by Padmanabhan and Png (1997) argues that returns policies intensify retail competition and therefore raise the manufacturer's profits. They reach that result through a problematic method to solve the game. Particularly, in the game where the manufacturer accepts returns, they unreasonably assume the retailers would never face stock constraints, thus changing the retail competition from a Cournot-like competition to a Bertrand one. Actually, in a game where retailers first order stocks and then compete by choosing prices, even if a manufacturer offers full return policies, the retailers can still use ""insufficient"" stocks as quantities precommitment in order to uphold retail prices. Hence, the retailers still face stock constraints at the final stage of the game. The nature of the game is essentially unaffected by returns policies when demand is certain. This note shows that returns policies do not intensify retail competition in the model proposed by Padmanabhan and Png (1997).",Demand uncertainty; Pricing; Retail competition; Returns policies,,Article,Final,,Scopus,2-s2.0-11144335857
Zhou G.; Cao Z.; Cao J.; Meng Z.,"Zhou, Gengui (7403686006); Cao, Zhenyu (13610790400); Cao, Jian (57225902463); Meng, Zhiqing (7201894919)",7403686006; 13610790400; 57225902463; 7201894919,A genetic algorithm approach on reverse logistics optimization for product return distribution network,2005,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),3801 LNAI,,,267,272,5,6,10.1007/11596448_38,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646836471&doi=10.1007%2f11596448_38&partnerID=40&md5=445ec3e58f4c68c34a14f425516a74f7,"Traditionally, product returns have been viewed as an unavoidable cost of distribution systems. Up to now there are few studies to address the problem of determining the number and location of centralized product return centers where returned products from retailers or end-customers are collected for manufacturers' or distributors' repair facilities while considering the distribution system. To fill the void in such a line of research, this paper proposes a nonlinear mixed-integer programming model and a genetic algorithm that can solve the distribution problem with forward and reverse logistics simultaneously. Compared with a partly enumeration method, the numerical analysis shows the effectiveness of the proposed model and its genetic algorithm approach. © Springer-Verlag Berlin Heidelberg 2005.",,Distributed computer systems; Genetic algorithms; Integer programming; Mathematical models; Numerical analysis; Problem solving; Distribution problem; Enumeration method; Product returns; Return centers; Reverse engineering,Conference paper,Final,,Scopus,2-s2.0-33646836471
Dicecco V.,"Dicecco, Vince (6603445216)",6603445216,Avoid the dreaded premature negotiation,2004,Printwear,18,1,,32,34,2,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-5444256397&partnerID=40&md5=90673db962800f732e5695c20b920ec7,"The outcome of dreaded premature negotiations are discussed. Negotiations are a subset of selling. all negotiations are a form of selling, but not all selling skills should involve negotiation. The four qualifying criteria must be met before any negotiation begins to improve the chances for a win-win outcome. When preparing to negotiate, management needs to clearly communicate the latitude the negotiator can exercise during the process.",,Inventory Control; Management; Marketing; Packaging; Sales; Technical Services; Value Added; Inventory control; Managers; Marketing; Packaging; Public policy; Sales; Value engineering; Payment terms; Premature negotiation; Return policy; Training sessions; Customer satisfaction,Review,Final,,Scopus,2-s2.0-5444256397
Mukhopadhyay S.K.; Setoputro R.,"Mukhopadhyay, Samar K. (7401807635); Setoputro, Robert (15019683100)",7401807635; 15019683100,Optimal return policy and modular design for build-to-order products,2005,Journal of Operations Management,23,5,,496,506,10,154,10.1016/j.jom.2004.10.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-19944396520&doi=10.1016%2fj.jom.2004.10.012&partnerID=40&md5=ccc16c3b907a8e441ec4a0ca49e04fa7,"A build-to-order product gives the firm the opportunity to customize the product to the requirement of the customers. The firm will see an increase in demand, but face some operational difficulties. One of these is related to the return policy which is now a recognized tool to win customer orders. This is even more true for increasingly popular Internet sales where the opportunity to physically examine the product is absent. A tremendous advantage can be gained by the Internet firm if it could offer a return policy for BTO products. We propose the use of modularity in the product design as a solution to this problem. From manufacturer's point of view, following a policy of modularization and offering a generous return policy would increase revenue, but also increase the cost due to increased likelihood of return and increased cost of design. We develop a profit maximization model to jointly obtain optimal polices for return policy and modularity level in terms of certain market reaction parameters. We obtain a number of managerial guidelines for using marketing and operational strategy variables to influence those reaction parameters so as to obtain the maximum benefit from the market. © 2004 Elsevier B.V. All rights reserved.",Build-to-order; Modular design; Return policy; Reverse logistics,Electronic commerce; Internet; Logistics; Marketing; Mathematical models; Optimization; Product development; Sales; Build-to-order; Modular design; Return policy; Reverse logistics; Industrial management,Article,Final,,Scopus,2-s2.0-19944396520
Lavagn M.; Finzi A.E.,"Lavagn, M. (6506789753); Finzi, A.E. (7005483715)",6506789753; 7005483715,Spacecraft design automation through a multi-criteria decision making approach,2002,"Collection of Technical Papers - AIAA/ASME/ASCE/AHS/ASC Structures, Structural Dynamics and Materials Conference",2,,,969,979,10,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036075361&partnerID=40&md5=b2eb3dd77bf426dcae922f4f540fb654,"This paper presents a method to automate the preliminary spacecraft design by applying both a Multi-Criteria Decision-Making (MCDM) methodology and the Fuzzy Logic theory. Attention is focused on interplanetary missions, but the method can be easily generalized to every space mission. Fuzzy logic has been selected to simulate the human thinking of several experts' teams in making refined choices within a universe of on-board subsystem solutions according to a set of a given sub-criteria generated by the general ""maximum product return"" goal. Among MCDM approaches, the Multi-Attribute (MADM) has been chosen to implement the proposed method, while the Multi-Objective (MODM) has been used to verify solutions in terms of optimality. Starting from an Analytic Hierarchical Process (AHP), criteria relative importance is evaluated by a combination-sensitive weight vector obtained through a multi-level scheme. Uncertainty intrinsic in technical parameters is taken into account by managing all quantities with the interval algebra rules. Comparison between simulation results and already flown, flying or planned to fly space systems showed a satisfactory mapping of the actual spacecraft, drastically reducing the time dedicated to the preliminary spacecraft design. Moreover, the ranking of the feasible configurations reveals to be as sensitive as humans in perceiving changes even in a single technical parameter value. The suggested preliminary spacecraft configuration cardinality is also consistent with the optimum detected by the MODM approach: the lower a configuration preference index is, the nearer that configuration to the optimum -according to an Euclidean metric - in the criteria iper-space.",,Automation; Computer simulation; Decision making; Fuzzy sets; Optimization; Systems analysis; Multi-criteria decison making (MCDM); Interplanetary spacecraft,Conference paper,Final,,Scopus,2-s2.0-0036075361
Blackburn J.D.; Guide Jr. V.D.R.; Souza G.C.; Van Wassenhove L.N.,"Blackburn, Joseph D. (7102292090); Guide Jr., V. Daniel R. (55947490000); Souza, Gilvan C. (7004490062); Van Wassenhove, Luk N. (7004884518)",7102292090; 55947490000; 7004490062; 7004884518,Reverse supply chains for commercial returns,2004,California Management Review,46,2,,6,22,16,373,10.2307/41166207,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642347647&doi=10.2307%2f41166207&partnerID=40&md5=3b6c9c12cb053efd166c38ca72ddd93c,"The flow of product returns is becoming a significant concern for manufacturers. Typically, these returns have been viewed as a nuisance, resulting in reverse supply chains that are designed to minimize costs. These minimum cost reverse supply chains often do not consider product return speed. The longer it takes to retrieve a returned product, the lower the chances that there are financially attractive reuse options. Unlike forward supply chains, design strategies for reverse supply chains are unexplored and largely undocumented. The most influential product characteristic for reverse supply chain design is the marginal value of time. Responsive reverse supply chains are the appropriate choice when the marginal value of time for products is high, and efficient reverse supply chains are the proper choice when the marginal value of time for products is low. Product returns and their reverse supply chains represent a potential value stream and deserve as much attention as forward supply chains.",,,Review,Final,,Scopus,2-s2.0-1642347647
Sheu J.-B.; Chou Y.-H.; Hu C.-C.,"Sheu, Jiuh-Biing (7201928686); Chou, Yi-Hwa (13309561900); Hu, Chun-Chia (8211118900)",7201928686; 13309561900; 8211118900,An integrated logistics operational model for green-supply chain management,2005,Transportation Research Part E: Logistics and Transportation Review,41,4,,287,313,26,411,10.1016/j.tre.2004.07.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-16844374319&doi=10.1016%2fj.tre.2004.07.001&partnerID=40&md5=3ae1f8647f877a904300929acda76102,"This paper presents an optimization-based model to deal with integrated logistics operational problems of green-supply chain management (G-SCM). In the proposed methodology, a linear multi-objective programming model is formulated that systematically optimizes the operations of both integrated logistics and corresponding used-product reverse logistics in a given green-supply chain. Factors such as the used-product return ratio and corresponding subsidies from governmental organizations for reverse logistics are considered in the model formulation. Results of numerical studies indicate that using the proposed model, the chain-based aggregate net profits can be improved by 21.1%, compared to the existing operational performance in the particular case studied. © 2004 Elsevier Ltd. All rights reserved.",Green-supply chain management; Integrated logistics systems; Reverse logistics; Systematic optimization,freight transport; goods exchange; modeling,Article,Final,,Scopus,2-s2.0-16844374319
Suo H.; Jin Y.,"Suo, Hansheng (56264694900); Jin, Yihui (7404457505)",56264694900; 7404457505,Supplier-retailer contracting under asymmetric risk attitude information in supply chain,2004,"Conference Proceeding - IEEE International Conference on Networking, Sensing and Control",2,,,1418,1421,3,6,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942678967&partnerID=40&md5=0146228f6b591a6f2ab5fde32e68097b,"The problem of designing an optimal returns policy for the supplier when the retailer is risk-aversion and the risk aversion level is its private information is studied. Allowing for the asymmetric information, this paper uses principal-agent models to derive the supplier's optimal mechanism and compare it to the situation where the supplier has complete information. It shows that the presence of both the risk aversion and the information asymmetries combined destroys the coordination of the supply chain, leading to inefficient supply chain performance. The total profits and the supplier's profits are lowered while the retailer's utilities are improved.",Asymmetric information; Coordination; Mechanism design; Risk aversion; Supply contracts,Competition; Contracts; Decision making; Mathematical models; Probability density function; Problem solving; Risk assessment; Profits; Suppliers; Supply chains; Industrial economics,Conference paper,Final,,Scopus,2-s2.0-2942678967
Heiman A.; McWilliams B.; Zhao J.; Zilberman D.,"Heiman, Amir (7007018227); McWilliams, Bruce (7006838120); Zhao, Jinhua (7410310258); Zilberman, David (35578894000)",7007018227; 7006838120; 7410310258; 35578894000,Valuation and management of money-back guarantee options,2002,Journal of Retailing,78,3,,193,205,12,56,10.1016/S0022-4359(02)00065-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036387684&doi=10.1016%2fS0022-4359%2802%2900065-9&partnerID=40&md5=967b83416f6de136940114afc9d5b241,"In this article, we model money-back guarantees (MBGs) as put options. This use of option theory provides retailers with a framework to optimize the price and the return option independently and under various market conditions. This separation of product price and option value enables retailers to offer an unbundled MBG policy, that is, to allow the customer to choose whether to purchase an MBG option with the product or to buy the product without the MBG but at a lower price. The option value of having an MBG is negatively correlated with the likelihood of product fit and with the opportunity to test the product before purchase, and positively correlated with price and contract duration. Simulation of our model reveals that when customers are highly heterogeneous in their product valuation and probability of need-fit, and if return costs are low, an unbundled MBG policy is optimal. When customers have high likelihood of fit or return costs are excessive, no MBG is the best policy. When customers have small variance in product valuation, but vary greatly in likelihood of product fit, the retailer may prefer to offer a bundled MBG contract, extracting consumer surplus by charging a price close to the valuation level. © 2002 by New York University. All rights reserved.",Consumer uncertainty; Money-back guarantee; Option value; Product fit; Return policy,,Article,Final,,Scopus,2-s2.0-0036387684
Wang C.X.; Benaroch M.,"Wang, Charles X. (7501636857); Benaroch, Michel (6604034453)",7501636857; 6604034453,Supply chain coordination in buyer centric B2B electronic markets,2004,International Journal of Production Economics,92,2,,113,124,11,74,10.1016/j.ijpe.2003.09.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-5744246802&doi=10.1016%2fj.ijpe.2003.09.016&partnerID=40&md5=5fc4d77f69795addcc9d03fe2c47ef39,"While over the past 4 years more than 1000 B2B electronic markets that cater to a wide spectrum of industries have been established, many of them have already disappeared. This reality can be explained by several factors, two of which we think are important: the transaction fees that owners of these markets charge participants, and the supply chain coordination mechanisms that these markets do (or actually do not) facilitate. In this paper, we take the viewpoint of supply chain coordination to analyze the decision of suppliers and buyers to do or not do business in electronic markets while selling perishable products with random demand. © 2003 Elsevier B.V. All rights reserved.",Electronic markets; Newsvendor model; Returns policy; Supply chain contracts,Cost effectiveness; Decision making; Marketing; Production control; Public policy; Electronic markets; Newsvendor model; Returns policy; Supply chain contracts; Electronic commerce,Article,Final,,Scopus,2-s2.0-5744246802
Kandra A.,"Kandra, Anne (6701394875)",6701394875,Web shopping: A cart full of frustration,2004,"PC World (San Francisco, CA)",22,10,,51,53,2,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-4944247448&partnerID=40&md5=3fcede7c31a1739d5abc4f4c88238782,"The various problems encountered in Web shopping and solutions to these problems are elaborated. The first problem is encountered while returning some good that has been purchased online in case the buyer does not like the item. The shipping cost has to be given by the buyer in such cases, and thus it is advisable to order exactly what is required after reading the return policy carefully. Another problem that is faced in rebate tracking is the downloadable forms that are in PDF format and have to be filled and dropped in mailboxes.",,Compact disks; Computer music; Database systems; Economic and social effects; File organization; Freight transportation; Online systems; Problem solving; Quality of service; Security of data; Passwords; PDF files; Shipping cost; Web services; Electronic commerce,Review,Final,,Scopus,2-s2.0-4944247448
Chellappa R.K.; Shivendu S.,"Chellappa, Ramnath K. (7102623748); Shivendu, Shivendu (6506901340)",7102623748; 6506901340,Pay Now or Pay Later? Managing Digital Product Supply Chains,2003,Proceedings of the ACM Conference on Electronic Commerce,5,,,230,234,4,7,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1142304574&partnerID=40&md5=dfc72d48899dd92554c0fe2757d9a998,"While manufacturer-retailer relationships for physical products have been studied to a great extent in the operations management literature, there is little research on digital product supply chains. The investigation of pricing strategies between an upstream manufacturer and downstream retailer has always been based on factors such inventory cost and return policies. Digital products such as music and software neither suffer from storage costs nor can they be returned for a salvage price. Further, even if consumer preferences for the products are known the demand can still be stochastic when consumers' piracy behavior is unknown. This research provides a first model of digital product manufacturer-retailer relationship and develops pricing strategies under two payment policies, first, when a manufacturer is prepaid for his intellectual property and second, when he is paid on a per-copy sold basis. The implication of these two policies on the quality and price of the digital product is discussed in the context of piracy.",Digital products; Piracy; Pricing; Stackelberg; Supply chain,Computer software; Costs; Industrial economics; Intellectual property; Investments; Marketing; Operations research; Public policy; Sampling; Digital products; Piracy; Pricing; Stackelberg; Supply chains; Industrial management,Conference paper,Final,,Scopus,2-s2.0-1142304574
Hoefelmeyer H.; Nelson R.; Nelson R.,"Hoefelmeyer, Henry (6505986502); Nelson, Randy (7404560036); Nelson, Robert (57198614359)",6505986502; 7404560036; 57198614359,Reliability for tactical cryocoolers,2004,Proceedings of SPIE - The International Society for Optical Engineering,5406,PART 2,,765,769,4,0,10.1117/12.543533,https://www.scopus.com/inward/record.uri?eid=2-s2.0-10044262116&doi=10.1117%2f12.543533&partnerID=40&md5=643e06ea02a4f0c43274b1321e4e6fc1,"For the past 18 years Carleton Life Support Systems has produced over 15,000 tactical cryogenic coolers that are primarily used in military infrared systems with excellent demonstrated reliability. As system reliability has improved, the cooler performance has emerged as a dominant component for reliability predictions. This has driven cooler reliability requirements to increase from a 1500-hour rotary cooler in chiefly ground applications to current requirements of 20,000 hours for linear coolers in advanced airborne applications. At the same time there is a push for improved cooldown time, lower power, lighter weight and smaller package. This paper reviews our progress on extending cooler life. It reviews recent product returns and contends that the majority of issues are not primarily related to reliability. It also reviews how system performance specifications are restrictive to the cooler designer in achieving higher reliability in tactical coolers.",Cryocooler; Cryogenic; Reliability,Costs; Infrared detectors; Life cycle; Life support systems (spacecraft); Maintenance; Military applications; Reliability; Thermal effects; Cryocoolers; Infrared sensors; Sensor cooling; Thermal stressing; Cryogenic equipment,Conference paper,Final,,Scopus,2-s2.0-10044262116
Stock J.; Speh T.; Shear H.,"Stock, James (15045815400); Speh, Thomas (6507732804); Shear, Herbert (9043544400)",15045815400; 6507732804; 9043544400,Many happy (product) returns,2002,Harvard Business Review,80,7,,16,,,209,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642285752&partnerID=40&md5=7267a35c6de5d4594c047e5f78580d3b,[No abstract available],,,Short survey,Final,,Scopus,2-s2.0-1642285752
Tsay A.A.,"Tsay, Andy A. (6603843787)",6603843787,Risk sensitivity in distribution channel partnerships: Implications for manufacturer return policies,2002,Journal of Retailing,78,2,,147,160,13,187,10.1016/S0022-4359(02)00070-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036347390&doi=10.1016%2fS0022-4359%2802%2900070-2&partnerID=40&md5=088cb317734750e1e3856ac2771e9dd5,"The manufacturer return policy is widely regarded as a means for channel partners to share risk. However, existing studies of this popular institutional practice use frameworks that assume risk-neutrality of all parties. This report analyzes how sensitivity to risk affects both sides of the manufacturer-retailer relationship under various scenarios of strategic power, and how these dynamics are altered by a return policy. A key finding is that the penalty for ignoring risk sensitivity can be substantial. This will suggest an informational motive affecting the use of return policies, a consequence of the potential difficulty of inferring another party's risk sensitivity and the positive incentive for deception. © 2002 by New York University. All rights reserved.",Channels of distribution&; Manufacturer return policies; Risk; Supply chain management,,Article,Final,,Scopus,2-s2.0-0036347390
Bechwati N.N.; Siegal W.S.,"Bechwati, Nada Nasr (6505832898); Siegal, Wendy Schneier (8672010900)",6505832898; 8672010900,The impact of the prechoice process on product returns,2005,Journal of Marketing Research,42,3,,358,367,9,79,10.1509/jmkr.2005.42.3.358,https://www.scopus.com/inward/record.uri?eid=2-s2.0-24344462734&doi=10.1509%2fjmkr.2005.42.3.358&partnerID=40&md5=713460bf22c6ffd559c33c07a1c615f8,"This article introduces a framework to help researchers understand the mechanisms underlying product returns. The framework draws on research in consumer choice, consumer memory, and attitude stability to predict how the process that consumers go through at a predecisional stage affects their postpurchase behavior. The likelihood of product returns is considered contingent on the amount and nature of cognitive responses generated during the choice process. In Study 1, the authors focus on the impact of the nature of cognitive responses and show that the generation of responses of a different nature while choosing directly affects the likelihood of choice reversal. The comparative versus noncomparative nature of thoughts generated influences their diagnosticity and, accordingly, their impact on product returns when consumers are exposed to disconfirming information. In Study 2, the authors draw on the inoculation theory to manipulate the number of prechoice thoughts. They find that when faced with disconfirming information favoring a new brand, inoculated consumers who are presented with choice alternatives sequentially are less likely to return a brand than consumers who are exposed solely to positive information about the chosen brand at a prepurchase stage.",,,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-24344462734
Moye L.N.; Giddings V.L.,"Moye, Letecia N. (7005090857); Giddings, Valerie L. (8368832500)",7005090857; 8368832500,An examination of the retail approach-avoidance behavior of older apparel consumers,2002,Journal of Fashion Marketing and Management,6,3,,259,276,17,21,10.1108/13612020210441355,https://www.scopus.com/inward/record.uri?eid=2-s2.0-3342995969&doi=10.1108%2f13612020210441355&partnerID=40&md5=3f108dd8ee83643ea9622c9ddd354d3f,"The purpose of this research was to examine the four aspects of approach-avoidance behavior (physical, exploratory, communication, performance and satisfaction) of older apparel consumers (those aged 65 and over). This research also examined the differences in age and shopping orientations relative to the importance of retail store attributes. Participants were 208 older consumers residing in the Southeastern part of the USA. Survey results revealed that older consumers preferred to shop department stores and mass merchandisers for clothing. These consumers reported they would spend more time and money in retail stores that offered credit, discounts for those 65 and over, and liberal return policies. Furthermore, they reported they would not return to and would avoid looking around in retail stores without chairs or benches, with difficult to find items, inferior products, and poor business practices. No differences were found in the age of older consumers relative to the importance of store attributes and shopping orientations. However, differences were found in the shopping orientation groups relative to the importance placed on store attributes. © MCB UP Limited.",Clothing; Consumer behaviour; Older consumers; Retail trade; Shopping,consumer research; decision making; market; retailing,Article,Final,,Scopus,2-s2.0-3342995969
Akçah E.; Morse M.A.,"Akçah, Elif (14520400300); Morse, Matthew A. (14520541800)",14520400300; 14520541800,Seeding strategies in remanufacturing,2004,IIE Annual Conference and Exhibition 2004,,,,1151,1156,5,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-30044435452&partnerID=40&md5=e56debae6a6639df52eb30f0337dda45,"In remanufacturing, a steady product return stream is required to match the supply with the demand. In the beginning of a remanufacturing program, manufacturers typically sell some new products, so that there is enough used product supply to sustain the remanufacturing program, which is known as the seeding. In this paper, we develop a simulation model to examine the impact of different seeding policies in remanufacturing. Under our assumptions, we show that the expected manufacturer's profit is a convex function of the seeding quantity. Our results indicate that under seeding can significantly deteriorate system performance. We suggest that by allowing the use of new components or having usable cores from earlier product generations, the system performance can be improved considerably.",Production planning; Remanufacturing; Seeding; Simulation,Computer simulation; Mathematical models; Performance; Product development; Production control; Production planning; Remanufacturing; Seeding; Manufacture,Conference paper,Final,,Scopus,2-s2.0-30044435452
Lincke-Salecker S.; Hood C.S.,"Lincke-Salecker, Susan (6603366853); Hood, Cynthia S. (7102044307)",6603366853; 7102044307,Integrated networks that overflow speech and data between component networks,2002,International Journal of Network Management,12,4,,235,257,22,13,10.1002/nem.442,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036642288&doi=10.1002%2fnem.442&partnerID=40&md5=7129c9b71666b29f36558acd3e831a08,"The integrated networks were presented where speech and data overflowed between components and networks. The study varied call placement algorithms by defining, modeling and evaluating overflow and return policies. The study showed that the complex option was fairer to non-dual-mode phones and provided capacity improvements than the simple option, particularly at lower dual-mode rates.",,Algorithms; Bandwidth; Code division multiple access; Data communication systems; Local area networks; Mathematical models; Network protocols; Speech communication; Switching; Telecommunication networks; Telecommunication traffic; Time division multiple access; Integrated networks; Global system for mobile communications,Article,Final,,Scopus,2-s2.0-0036642288
de Brito M.P.; Dekker R.,"de Brito, Marisa P. (23469188700); Dekker, Rommert (7103035194)",23469188700; 7103035194,Modelling product returns in inventory control - Exploring the validity of general assumptions,2003,International Journal of Production Economics,81,82,,225,241,16,65,10.1016/S0925-5273(02)00275-X,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037431622&doi=10.1016%2fS0925-5273%2802%2900275-X&partnerID=40&md5=ccee8a2e9e1b71e73694b018c232d71a,"The literature on stochastic models for inventory control with product returns commonly makes the following simplifying assumptions: demand and returns are each a homogeneous (compound) Poisson Process, and the processes are independent of each other. In this paper, we explore the validity of these assumptions by analysing real data on return flows. In addition, we discuss practical implications of our findings and we provide insights on information management for inventory systems with return flows. © 2002 Elsevier Science B.V. All rights reserved.",Data analysis; Inventory control; Product returns; Reverse flows,Data reduction; Information science; Inventory control; Poisson distribution; Random processes; Product returns; Industrial economics,Article,Final,,Scopus,2-s2.0-0037431622
Rigsbee E.,"Rigsbee, E. (6603214504)",6603214504,"Oh, so you want me to ship it to the manufacturer?",2004,Business Forms Labels and Systems,42,10,,24,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-8644285511&partnerID=40&md5=fe76c228939b3ba4ba7acf26fd92939f,"The importance of showing a professional attitude by being nice to customer as illustrated through a story by Ed Rigsbee was discussed. Ed, who was in the sunglasses business, did most of his business with a drug store chain, the department heads of which became district managers. In 1990 when he went to the local store, of the same drug store chain, to get his defective camera replaced the store's assistant manager did not oblige him. Being aware of the return policy of the company he follwed the matter with the district manager Ron, whom he had known for 20 years, informing him of the manager's behavior. As a result, he not only received a written apology from the assistant manager but also a $20 worth of store script.",,Cameras; Executives; Information Retrieval; Marketing; Personnel; Professional Services; Sales; Shipments; Technical Services; Cameras; Customer satisfaction; Information management; Managers; Marketing; Personnel; Sales; Customer retention; Drug stores; Return policy; Sunglasses; Professional aspects,Short survey,Final,,Scopus,2-s2.0-8644285511
Fleischmann M.; Beullens P.; Bloemhof-Ruwaard J.M.; Van Wassenhove L.N.,"Fleischmann, Moritz (56256963800); Beullens, Patrick (11141616600); Bloemhof-Ruwaard, Jacqueline M. (6602637314); Van Wassenhove, Luk N. (7004884518)",56256963800; 11141616600; 6602637314; 7004884518,The impact of product recovery on logistics network design,2001,Production and Operations Management,10,2,,156,173,17,648,10.1111/j.1937-5956.2001.tb00076.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040150526&doi=10.1111%2fj.1937-5956.2001.tb00076.x&partnerID=40&md5=ace82bd64432f839d63f9b6d0d9cc792,"Efficient implementation of closed-loop supply chains requires setting up appropriate logistics structures for the arising flows of used and recovered products. In this paper we consider logistics network design in a reverse logistics context. We present a generic facility location model and discuss differences with traditional logistics settings. Moreover, we use our model to analyze the impact of product return flows on logistics networks. We show that the influence of product recovery is very much context dependent. While product recovery may efficiently be integrated in existing logistics structures in many cases, other examples require a more comprehensive approach redesigning a company's logistics network in an integral way.",Facility location; Network design; Product recovery; Reverse logistics; Supply chain management,,Article,Final,,Scopus,2-s2.0-0040150526
Zhao H.,"Zhao, Hui (55523102589)",55523102589,Simulation and analysis of dealers' returns distribution strategy,2001,Winter Simulation Conference Proceedings,2,,,1109,1116,7,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035707143&partnerID=40&md5=da5bd6d9dea488ae6d8baefd94c40373,"Due to high demand uncertainty, excess inventory has been a key issue in inventory control. Caterpillar developed the dealers' parts inventory sharing (DPIS) and returns programs to help dealers cope with excess inventory. However, historical data show that the current returns policy has been very costly to Caterpillar due to the distribution strategy. In this project, we develop alternative returns policies and propose to use simulation to analyze the cost structure of the alternative policies, develop cost sharing schemes, and compare performance with the current policy under different scenarios. It is shown that the simulation tool we developed provides industry managers with a test ground for new returns strategies and the output analysis presents guidelines to set parameters when using the new strategies to manage returns distribution.",,Computer aided analysis; Cost effectiveness; Industrial management; Inventory control; Strategic planning; Cost sharing; Dealers parts inventory sharing; Excess inventory; Returns distribution strategy; Computer simulation,Conference paper,Final,,Scopus,2-s2.0-0035707143
Serrato M.; Ryan S.M.; Gaytan J.,"Serrato, Marco (20735694400); Ryan, Sarah M. (7202072937); Gaytan, Juan (14520419300)",20735694400; 7202072937; 14520419300,A Markov decision model to evaluate outsourcing in Reverse Logistics,2004,IIE Annual Conference and Exhibition 2004,,,,2081,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-30044443981&partnerID=40&md5=03d3d9babea088b49a83ca3337daa7a1,"Once organizations distribute their products to retailers and final consumers, their flow of materials is not over: that is the moment at which the Reverse Logistics (RL) flow begins. These companies are eventually forced to face the enormous amount of problems at the back of their business, which increase significantly when they are not managed correctly. Because of this reason, RL has recently been considered as an improvement area if it is focused correctly. Every manufacturing, distribution or sales firm, irrespective of its size, types of products or geographic location, can benefit from planning, implementing and controlling RL activities. Unfortunately, not enough analytical models currently exist which assist in RL strategic decisions. One of such critical decisions in RL systems can be identified as whether or not to outsource these activities to a Third-Party Reverse Logistics Provider (3PRLP). Extensive research has been performed in relation to outsourcing logistics functions, but not enough on the specific case of RL activities. Furthermore, once the decision to outsource a defined set of RL functions has been taken, the selection of a 3PRLP is a critical issue to consider too. One characteristic that distinguishes RL from the forward supply chain is the high uncertainty in the product return rate. The analytical model presented addresses the outsourcing decision-making problem mentioned above by considering two factors: the length of the product life cycle and the variability in the rate of returns between consecutive periods. A Markov Decision Model (MDM) is proposed to help a firm to decide whether or not to follow an outsourcing strategy for its RL activities. The reasons to consider these two factors are clearly explained, as well as the way this MDM can be applied to a company that manufactures a defined set of products and faces the problem of managing the RL flow for all of them. In particular, the electronics sector is analyzed, considering the short lifecycles of the products managed by these firms, and the significantly high variability in the rate of returns between consecutive periods. The characteristic economic conditions in this market are included, considering the product's decreasing price in the secondary market over time. The results show under which conditions it is economically desirable to follow an outsourcing strategy, and how great will be the expected economic advantage by following this option rather than performing the activities internally. Finally, how the proposed model can be extended to other industrial sectors (such as retailers or pharmaceutical with different combinations of product lifecycle length and return variability) where RL also represents a critical issue is shown too.",Electronics reuse; Outsourcing; Reverse Logistics,Life cycle; Markov processes; Outsourcing; Planning; Product lifecycle; Reverse logistics (RL); Supply chain; Decision theory,Conference paper,Final,,Scopus,2-s2.0-30044443981
